,ProjectName,PrimaryLanguage,Stars,TotalOfPullRequests,TotalOfIssues,TotalOfForks,Engagement
83,poteto/hiring-without-whiteboards,JavaScript,32464,1270,0,2841,1370.3333333333333
84,jondot/awesome-react-native,JavaScript,32027,1034,66,3916,1672.0
85,jgraph/drawio,JavaScript,31643,147,2643,6302,3030.6666666666665
86,microsoft/monaco-editor,JavaScript,31574,297,2994,3022,2104.3333333333335
87,SheetJS/sheetjs,JavaScript,31512,315,2376,7848,3513.0
88,carbon-app/carbon,JavaScript,31428,769,614,1774,1052.3333333333333
89,LeCoupa/awesome-cheatsheets,JavaScript,31010,242,60,5080,1794.0
90,iamadamdev/bypass-paywalls-chrome,JavaScript,29730,189,997,2165,1117.0
91,vuejs/vue-cli,JavaScript,29496,1785,5398,6363,4515.333333333333
92,react-boilerplate/react-boilerplate,JavaScript,28799,1182,1882,6129,3064.3333333333335
93,denysdovhan/wtfjs,JavaScript,28750,164,102,2084,783.3333333333334
94,Asabeneh/30-Days-Of-JavaScript,JavaScript,28610,386,64,6562,2337.3333333333335
95,markedjs/marked,JavaScript,28488,1281,1268,3260,1936.3333333333333
96,atlassian/react-beautiful-dnd,JavaScript,28374,939,1502,2245,1562.0
97,naptha/tesseract.js,JavaScript,28261,154,521,1900,858.3333333333334
98,tastejs/todomvc,JavaScript,27986,1304,761,13938,5334.333333333333
99,jashkenas/backbone,JavaScript,27933,1847,2395,5564,3268.6666666666665
100,typicode/husky,JavaScript,27902,332,859,983,724.6666666666666
101,aosabook/500lines,JavaScript,27881,229,69,5920,2072.6666666666665
102,vuejs/vuex,JavaScript,27836,942,1243,9543,3909.3333333333335
103,caolan/async,JavaScript,27715,760,1107,2457,1441.3333333333333
104,kenwheeler/slick,JavaScript,27707,683,3523,5933,3379.6666666666665
105,airbnb/lottie-web,JavaScript,27593,193,2660,2742,1865.0
106,standard/standard,JavaScript,27571,632,1185,2320,1379.0
107,elsewhencode/project-guidelines,JavaScript,27397,128,37,3092,1085.6666666666667
108,webtorrent/webtorrent,JavaScript,27007,780,1532,2612,1641.3333333333333
109,sequelize/sequelize,JavaScript,26909,5050,9856,4111,6339.0
110,odoo/odoo,JavaScript,26649,86596,15504,17168,39756.0
111,jashkenas/underscore,JavaScript,26640,1548,1411,5614,2857.6666666666665
112,layui/layui,JavaScript,26550,331,591,7074,2665.3333333333335
113,goabstract/Awesome-Design-Tools,JavaScript,26477,378,29,1936,781.0
114,VincentGarreau/particles.js,JavaScript,26400,107,388,4649,1714.6666666666667
115,Advanced-Frontend/Daily-Interview-Question,JavaScript,26263,23,550,3288,1287.0
116,ccxt/ccxt,JavaScript,26110,7672,7629,6379,7226.666666666667
