,HashId,ProjectName,UpdateAt,TimeToUpdate,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfPullRequests,TotalOfReleases,TotalOfIssues,TotalOfClosedIssues,RateOfIssues
35,MDEwOlJlcG9zaXRvcnk5NDMxNDk=,d3/d3,20/10/2022,0,27/09/2010,4406,JavaScript,103178,439,10,2113,2110,"1,0"
36,MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,facebook/create-react-app,20/10/2022,0,17/07/2016,2286,JavaScript,97609,1942,10,7877,6441,"0,82"
37,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios/axios,20/10/2022,0,18/08/2014,2985,JavaScript,96778,621,10,3901,3666,"0,94"
38,MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,justjavac/free-programming-books-zh_CN,20/10/2022,0,04/11/2013,3272,-,96207,280,3,0,0,-
39,MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,vercel/next.js,20/10/2022,0,05/10/2016,2206,JavaScript,94118,10278,10,13758,12583,"0,91"
40,MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes/kubernetes,20/10/2022,0,06/06/2014,3058,Go,93040,52856,10,41757,40178,"0,96"
41,MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,nodejs/node,20/10/2022,0,26/11/2014,2885,JavaScript,91052,5000,10,15103,13767,"0,91"
42,MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,avelino/awesome-go,20/10/2022,0,06/07/2014,3028,Go,89716,2843,0,492,489,"0,99"
43,MDEwOlJlcG9zaXRvcnk1NzYyMDE=,mrdoob/three.js,20/10/2022,0,23/03/2010,4594,JavaScript,86187,10077,10,11376,11008,"0,97"
44,MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,denoland/deno,20/10/2022,0,15/05/2018,1619,Rust,85917,7113,10,6657,5693,"0,86"
45,MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,microsoft/terminal,20/10/2022,0,11/08/2017,1896,C++,85717,2920,10,10609,9115,"0,86"
46,MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,microsoft/TypeScript,20/10/2022,0,17/06/2014,3047,TypeScript,85227,12261,10,35097,29501,"0,84"
47,MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular/angular,20/10/2022,0,18/09/2014,2954,TypeScript,84402,3243,10,24454,23342,"0,95"
48,MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,goldbergyoni/nodebestpractices,20/10/2022,0,15/09/2017,1861,JavaScript,82369,737,0,300,279,"0,93"
49,MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design/ant-design,20/10/2022,0,24/04/2015,2736,TypeScript,82301,9466,10,24814,23948,"0,97"
50,MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,mui/material-ui,20/10/2022,0,18/08/2014,2985,JavaScript,82116,14305,10,16518,15430,"0,93"
51,MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,trimstray/the-book-of-secret-knowledge,20/10/2022,0,23/06/2018,1580,-,80585,122,0,0,0,-
52,MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer/puppeteer,20/10/2022,0,09/05/2017,1990,TypeScript,80384,2734,10,5594,5339,"0,95"
53,MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,microsoft/PowerToys,20/10/2022,0,01/05/2019,1268,C#,80175,3488,10,17375,13783,"0,79"
54,MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,yangshun/tech-interview-handbook,20/10/2022,0,05/07/2016,2298,TypeScript,79937,270,0,63,47,"0,75"
55,MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,practical-tutorials/project-based-learning,20/10/2022,0,12/04/2017,2017,-,79472,179,0,58,42,"0,72"
56,MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,PanJiaChen/vue-element-admin,20/10/2022,0,17/04/2017,2012,Vue,79003,313,10,3474,2324,"0,67"
57,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,iluwatar/java-design-patterns,20/10/2022,0,09/08/2014,2994,Java,77599,897,0,721,576,"0,8"
58,MDEwOlJlcG9zaXRvcnkyNTYxNTgy,animate-css/animate.css,20/10/2022,0,12/10/2011,4026,CSS,76067,313,10,828,807,"0,97"
59,MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybookjs/storybook,20/10/2022,0,18/03/2016,2407,TypeScript,74643,7072,10,9492,7456,"0,79"
60,MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,tensorflow/models,20/10/2022,0,05/02/2016,2449,Python,74562,2253,10,7005,5902,"0,84"
61,MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,nvbn/thefuck,20/10/2022,0,08/04/2015,2752,Python,74178,478,10,654,450,"0,69"
62,MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,ryanmcdermott/clean-code-javascript,20/10/2022,0,25/11/2016,2155,JavaScript,73632,148,0,129,81,"0,63"
63,MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust-lang/rust,20/10/2022,0,16/06/2010,4509,Rust,73435,43247,10,45658,37116,"0,81"
64,MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,huggingface/transformers,20/10/2022,0,29/10/2018,1452,Python,72611,7654,10,10192,9796,"0,96"
65,MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,Genymobile/scrcpy,20/10/2022,0,21/11/2017,1794,C,71779,61,10,3177,2067,"0,65"
66,MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,MisterBooo/LeetCodeAnimation,20/10/2022,0,06/12/2018,1414,Java,71705,63,0,58,42,"0,72"
67,MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel/laravel,20/10/2022,0,08/06/2011,4152,PHP,71238,1457,10,0,0,-
